"A111A,A131A,A211A,A221A,A511A,H000C,H010A,H010C,H020A,H020B,H203C,I100B,I100C,I200C,J000A,J203A,J400A,J500A,J600A,O010A,O020A,P000A,P030A,P030B,P030C,P100A,Q000B,Q000D,Q010A,Q020A,Q030A,Q400A,Q900A,A112A,A113A,A114A,A115A,A118A,A119A,A143A,A144A,A145A,A146A,A148A,A149A,A151A,A153A,A154A,A156A,A158A,A159A,A171A,A173A,A174A,A175A,A176A,A177A,A181A,A192A,A193A,A195A,A197A,A201A,A204A,A213A,A215A,A216A,A217A,A218A,A219A,A226A,A227A,A228A,A229A,A231A,A238A,A242A,A243A,A244A,A245A,A247A,A433A,A529A,A534A,A752A,Ganancia,ID_ESTRATO_2.0,ID_ESTRATO_3.0,ID_ESTRATO_4.0,ID_ESTRATO_99.0"
"9082.79,3958.445,115.024,115.024,0.0,1722.0,12349.0,1185.0,2388.0,1851.0,216.0,4061.0,284.0,0.0,701.527,35.984,15.4,16.957,4.214,9059.187,0.112,0.0,0.0,0.0,0.0,0.0,264.228,8.726,1087.21,3166.289,469.487,14.258,55.907,99.74,0.0,0.001,0.0,0.011,0.248,76.039,5.129,77.23,12.514,18.832,2.417,9.596,57.754,16.415,22.487,6.536,0.0,56808.406,44545.47,96213.904,135961.105,0.0,13.69,0.601,0.0,0.0,0.0,0.0,43.582,207443.926,1.266,2.4,0.0,2.906,0.0,0.248,22.683,66.059,9.795,0.297,35.857,1.166,251187.035,11.97,52.772,2.4,0.091,296.581,5.513,55.902,82.585,4003.3059999999996,0,0,0,1"
"1244.899,645.929,11.767,11.767,0.0,310.0,2109.0,92.0,1044.0,826.0,44.0,13.0,2.0,0.0,103.758,10.648,1.269,3.58,0.395,1244.03,0.1,0.0,0.0,0.0,0.0,0.0,64.404,1.173,193.036,927.683,89.613,1.93,9.29,99.93,0.0,0.008,0.0,0.005,0.057,77.936,10.262,99.527,32.955,11.801,3.45,4.362,35.2,8.351,20.881,13.333,0.0,49197.724,40758.569,85184.0,319800.0,0.0,17.323,0.381,0.0,0.0,0.0,0.0,51.886,203891.73,0.945,0.963,0.0,1.822,0.0,0.057,15.803,75.943,7.336,0.158,43.547,0.761,385590.909,15.506,98.125,0.963,0.773,337.614,5.272,77.138,52.878,667.3349999999999,0,0,0,0"
"3656.587,1519.931,39.345,39.345,0.0,663.0,4838.0,398.0,1095.0,830.0,125.0,297.0,67.0,0.0,285.344,20.257,5.474,7.857,2.49,3654.049,0.012,0.0,0.0,0.0,0.0,0.0,121.646,4.242,363.362,1484.061,184.409,6.31,20.748,99.931,0.0,0.0,0.0,0.025,0.044,72.018,7.099,94.219,17.389,20.883,2.754,8.227,65.104,18.129,24.201,18.407,0.0,58979.744,44231.597,105505.208,173068.681,0.0,13.355,0.873,0.0,0.0,0.0,0.0,41.567,241373.829,1.076,1.911,0.0,2.589,0.0,0.044,17.648,72.081,8.957,0.306,33.763,1.008,326963.633,9.937,56.306,1.911,0.028,252.058,5.908,50.973,73.823,1555.5149999999999,1,0,0,0"
"2567.25,1293.603,47.36,47.36,0.0,448.0,3947.0,394.0,240.0,186.0,46.0,1699.0,127.0,0.0,232.842,5.036,8.275,5.52,1.329,2558.969,0.0,0.0,0.0,0.0,0.0,0.0,62.556,2.471,372.127,667.194,154.793,3.594,15.502,99.677,0.0,0.0,0.0,0.0,0.323,73.317,2.163,69.632,3.991,24.52,2.371,9.982,82.143,22.15,22.5,6.955,0.0,58992.146,43873.554,89928.571,131485.761,0.0,18.282,0.571,0.0,0.0,0.0,0.0,50.389,215134.376,1.845,3.904,0.0,3.661,0.0,0.323,30.673,54.994,12.759,0.296,41.319,1.278,201764.51,14.495,47.257,3.904,0.0,406.668,5.156,70.413,106.626,1310.058,0,1,0,0"
"1614.054,498.982,16.552,16.552,0.0,301.0,1455.0,301.0,9.0,9.0,1.0,2052.0,88.0,0.0,79.583,0.043,0.382,0.0,0.0,1602.139,0.0,0.0,0.0,0.0,0.0,0.0,15.622,0.84,158.685,87.351,40.672,2.424,10.367,99.262,0.0,0.0,0.0,0.0,0.738,95.944,0.054,40.622,0.25,4.002,0.0,20.687,100.0,4.002,0.0,4.112,0.0,54696.22,52513.755,43000.0,132179.439,0.0,7.137,0.0,0.0,0.0,0.0,0.0,30.915,138452.275,1.025,5.527,0.0,3.317,0.0,0.738,52.983,29.166,13.58,0.809,25.984,3.461,83101.831,9.831,18.556,5.527,0.0,263.892,5.216,35.106,166.606,470.3979999999999,0,0,1,0"
"2927.533,1007.15,126.133,126.133,0.0,3185.0,5900.0,719.0,8313.0,5847.0,100.0,439.0,34.0,0.0,325.101,19.885,3.295,3.445,4.013,2867.594,56.328,0.0,0.0,0.0,0.0,0.0,173.7,3.645,832.204,1955.194,218.741,12.118,48.748,97.953,0.0,1.924,0.0,0.008,0.116,81.098,6.117,96.779,56.605,12.785,1.06,12.186,50.761,11.725,29.664,7.188,0.0,55101.864,46230.405,100939.086,348932.347,0.0,16.929,1.234,0.0,0.0,0.0,0.0,34.403,68578.919,4.391,4.113,0.0,12.524,0.0,0.118,27.134,63.749,7.132,0.395,21.826,1.589,208838.69,28.427,104.764,4.113,43.403,287.312,5.664,27.92,32.838,942.3410000000001,0,0,0,1"
"2927.533,1007.15,126.133,126.133,0.0,3185.0,5900.0,719.0,8313.0,5847.0,100.0,439.0,34.0,0.0,325.101,19.885,3.295,3.445,4.013,2867.594,56.328,0.0,0.0,0.0,0.0,0.0,173.7,3.645,832.204,1955.194,218.741,12.118,48.748,97.953,0.0,1.924,0.0,0.008,0.116,81.098,6.117,96.779,56.605,12.785,1.06,12.186,50.761,11.725,29.664,7.188,0.0,55101.864,46230.405,100939.086,348932.347,0.0,16.929,1.234,0.0,0.0,0.0,0.0,34.403,68578.919,4.391,4.113,0.0,12.524,0.0,0.118,27.134,63.749,7.132,0.395,21.826,1.589,208838.69,28.427,104.764,4.113,43.403,287.312,5.664,27.92,32.838,942.3410000000001,0,0,0,1"
"22363.712,9147.159,247.365,247.365,0.0,19291.0,68763.0,4383.0,105470.0,90562.0,609.0,5052.0,193.0,0.0,3098.621,115.142,22.897,35.095,23.276,22070.945,23.689,0.0,0.0,0.0,0.0,0.0,1816.666,24.067,10955.756,1798.144,1217.693,35.87,141.714,98.691,0.0,0.106,0.0,0.791,0.412,89.743,3.716,97.078,58.765,6.541,1.133,6.374,44.747,5.408,14.135,3.68,0.0,45062.33,41256.906,84601.029,197770.067,0.0,23.445,0.751,0.0,0.0,0.0,0.0,40.902,50965.35,1.107,1.748,0.0,2.704,0.0,0.412,77.43,12.708,8.606,0.254,27.0,1.002,78835.161,48.989,63.268,1.748,8.727,476.732,12.839,36.987,64.648,9731.239,0,0,0,1"
"3835.1,1671.891,55.096,55.096,0.0,2408.0,10644.0,502.0,23247.0,21341.0,60.0,129.0,4.0,0.0,454.307,13.368,0.584,1.693,0.738,3743.689,4.847,0.0,0.0,0.0,0.0,0.0,265.632,4.567,1724.543,431.819,186.287,3.58,34.436,97.616,0.0,0.126,0.0,2.183,0.075,95.262,2.943,99.609,68.325,1.795,0.373,4.716,28.037,1.422,8.199,3.008,0.0,42681.98,41494.151,62467.29,116406.015,0.0,21.002,0.162,0.0,0.0,0.0,0.0,43.594,49138.579,1.436,2.314,0.0,3.295,0.0,0.075,72.44,18.139,7.825,0.15,31.768,1.446,69970.168,44.967,62.076,2.314,8.124,451.302,11.158,46.559,70.228,1715.797,0,0,0,0"
"7739.019,3496.486,130.742,130.742,0.0,9812.0,29820.0,1863.0,42297.0,34348.0,313.0,819.0,61.0,0.0,1308.25,62.05,7.45,13.664,5.656,7642.494,12.549,0.0,0.0,0.0,0.0,0.0,520.218,7.34,3380.529,659.642,348.918,11.272,55.371,98.753,0.0,0.162,0.0,0.517,0.568,89.447,4.743,98.794,57.943,5.81,1.044,6.247,45.036,4.766,18.793,6.932,0.0,43871.563,40178.163,89280.576,132526.136,0.0,30.837,0.432,0.0,0.0,0.0,0.0,45.18,47899.037,1.692,2.934,0.0,3.739,0.0,0.568,75.869,14.804,7.831,0.253,28.184,1.243,61039.933,43.682,57.575,2.934,9.088,515.136,11.675,39.244,78.472,3706.7870000000003,1,0,0,0"
